date,product,stock,restock_threshold,restock_amount,price,category,shelf_life
2023-01-01,Product1,40,48,0,34.46612642,Category1,132
2023-01-01,Product2,57,38,0,10.03115063,Category2,151
2023-01-01,Product3,85,24,0,49.68846237,Category3,244
2023-01-01,Product4,61,17,0,34.69926039,Category1,360
2023-01-01,Product5,82,30,0,34.46612642,Category2,117
2023-01-02,Product1,60,48,20,34.46612642,Category1,132
2023-01-02,Product2,59,38,2,10.03115063,Category2,151
2023-01-02,Product3,86,24,1,49.68846237,Category3,244
2023-01-02,Product4,59,17,0,34.69926039,Category1,360
2023-01-02,Product5,99,30,17,34.46612642,Category2,117
2023-01-03,Product1,43,48,0,33.53862168,Category1,132
2023-01-03,Product2,59,38,0,10.03115063,Category2,151
2023-01-03,Product3,90,24,4,49.68846237,Category3,244
2023-01-03,Product4,56,17,0,34.69926039,Category1,360
2023-01-03,Product5,95,30,0,34.46612642,Category2,117
2023-01-04,Product1,55,48,12,34.46612642,Category1,132
2023-01-04,Product2,47,38,0,10.03115063,Category2,151
2023-01-04,Product3,84,24,0,49.68846237,Category3,244
2023-01-04,Product4,59,17,3,34.69926039,Category1,360
2023-01-04,Product5,97,30,2,34.46612642,Category2,117
2023-01-05,Product1,55,48,0,35.64584945,Category1,132
2023-01-05,Product2,46,38,0,10.03115063,Category2,151
2023-01-05,Product3,76,24,0,49.68846237,Category3,244
2023-01-05,Product4,56,17,0,34.69926039,Category1,360
2023-01-05,Product5,90,30,0,34.46612642,Category2,117
2023-01-06,Product1,55,48,0,34.46612642,Category1,132
2023-01-06,Product2,57,38,11,10.03115063,Category2,151
2023-01-06,Product3,100,24,24,49.68846237,Category3,244
2023-01-06,Product4,62,17,6,34.69926039,Category1,360
2023-01-06,Product5,98,30,8,34.46612642,Category2,117
2023-01-07,Product1,56,48,1,34.46612642,Category1,132
2023-01-07,Product2,53,38,0,10.03115063,Category2,151
2023-01-07,Product3,82,24,0,49.68846237,Category3,244
2023-01-07,Product4,55,17,0,34.69926039,Category1,360
2023-01-07,Product5,80,30,0,34.46612642,Category2,117
2023-01-08,Product1,47,48,0,34.46612642,Category1,132
2023-01-08,Product2,57,38,4,10.03115063,Category2,151
2023-01-08,Product3,91,24,9,49.68846237,Category3,244
2023-01-08,Product4,64,17,9,34.69926039,Category1,360
2023-01-08,Product5,90,30,10,34.46612642,Category2,117
2023-01-09,Product1,57,48,10,34.46612642,Category1,132
2023-01-09,Product2,53,38,0,10.03115063,Category2,151
2023-01-09,Product3,83,24,0,49.68846237,Category3,244
2023-01-09,Product4,59,17,0,34.69926039,Category1,360
2023-01-09,Product5,97,30,7,34.46612642,Category2,117
2023-01-10,Product1,49,48,0,34.46612642,Category1,132
2023-01-10,Product2,44,38,0,10.03115063,Category2,151
2023-01-10,Product3,91,24,8,49.68846237,Category3,244
2023-01-10,Product4,49,17,0,34.69926039,Category1,360
2023-01-10,Product5,95,30,0,34.46612642,Category2,117
2023-01-11,Product1,50,48,1,34.46612642,Category1,132
