Date,Inventory
2022-01-01,152
2022-01-02,142
2022-01-03,64
2022-01-04,156
2022-01-05,121
2022-01-06,70
2022-01-07,152
2022-01-08,171
2022-01-09,124
2022-01-10,137
2022-01-11,166
2022-01-12,149
2022-01-13,153
2022-01-14,180
2022-01-15,199
2022-01-16,102
2022-01-17,51
2022-01-18,137
2022-01-19,87
2022-01-20,179
2022-01-21,70
2022-01-22,107
2022-01-23,71
2022-01-24,138
2022-01-25,98
2022-01-26,108
2022-01-27,64
2022-01-28,100
2022-01-29,157
2022-01-30,104
2022-01-31,113
2022-02-01,180
2022-02-02,100
2022-02-03,184
2022-02-04,70
2022-02-05,122
2022-02-06,67
2022-02-07,181
2022-02-08,138
2022-02-09,109
2022-02-10,63
2022-02-11,58
2022-02-12,139
2022-02-13,102
2022-02-14,179
2022-02-15,133
2022-02-16,141
2022-02-17,160
2022-02-18,57
2022-02-19,84
2022-02-20,130
2022-02-21,99
2022-02-22,153
2022-02-23,181
2022-02-24,51
2022-02-25,183
2022-02-26,103
2022-02-27,155
2022-02-28,53
2022-03-01,103
2022-03-02,195
2022-03-03,93
2022-03-04,63
2022-03-05,144
2022-03-06,97
2022-03-07,64
2022-03-08,89
2022-03-09,131
2022-03-10,160
2022-03-11,102
2022-03-12,73
2022-03-13,173
2022-03-14,90
2022-03-15,64
2022-03-16,94
2022-03-17,114
2022-03-18,138
2022-03-19,120
2022-03-20,58
2022-03-21,137
2022-03-22,178
2022-03-23,185
2022-03-24,112
2022-03-25,188
2022-03-26,130
2022-03-27,185
2022-03-28,82
2022-03-29,172
2022-03-30,54
2022-03-31,90
2022-04-01,77
2022-04-02,184
2022-04-03,121
2022-04-04,61
2022-04-05,82
2022-04-06,97
2022-04-07,111
2022-04-08,86
2022-04-09,148
2022-04-10,153
2022-04-11,84
2022-04-12,150
2022-04-13,180
2022-04-14,50
2022-04-15,54
2022-04-16,191
2022-04-17,152
2022-04-18,76
2022-04-19,186
2022-04-20,64
2022-04-21,139
2022-04-22,91
2022-04-23,173
2022-04-24,112
2022-04-25,145
2022-04-26,101
2022-04-27,145
2022-04-28,181
2022-04-29,192
2022-04-30,78
2022-05-01,85
2022-05-02,62
2022-05-03,120
2022-05-04,135
2022-05-05,77
2022-05-06,115
2022-05-07,94
2022-05-08,111
2022-05-09,183
2022-05-10,77
2022-05-11,77
2022-05-12,157
2022-05-13,93
2022-05-14,133
2022-05-15,79
2022-05-16,124
2022-05-17,177
2022-05-18,141
2022-05-19,178
2022-05-20,170
2022-05-21,76
2022-05-22,170
2022-05-23,165
2022-05-24,52
2022-05-25,152
2022-05-26,186
2022-05-27,111
2022-05-28,100
2022-05-29,108
2022-05-30,167
2022-05-31,145
2022-06-01,162
2022-06-02,111
2022-06-03,101
2022-06-04,61
2022-06-05,88
2022-06-06,179
2022-06-07,180
2022-06-08,162
2022-06-09,150
2022-06-10,162
2022-06-11,130
2022-06-12,162
2022-06-13,51
2022-06-14,179
2022-06-15,103
2022-06-16,136
2022-06-17,178
2022-06-18,196
2022-06-19,175
2022-06-20,179
2022-06-21,102
2022-06-22,117
2022-06-23,172
2022-06-24,194
2022-06-25,87
2022-06-26,73
2022-06-27,118
2022-06-28,165
2022-06-29,147
2022-06-30,188
2022-07-01,193
2022-07-02,146
2022-07-03,173
2022-07-04,119
2022-07-05,142
2022-07-06,52
2022-07-07,197
2022-07-08,196
2022-07-09,139
2022-07-10,196
2022-07-11,197
2022-07-12,145
2022-07-13,101
2022-07-14,177
2022-07-15,88
2022-07-16,131
2022-07-17,153
2022-07-18,178
2022-07-19,60
2022-07-20,91
2022-07-21,148
2022-07-22,56
2022-07-23,193
2022-07-24,139
2022-07-25,161
2022-07-26,109
2022-07-27,162
2022-07-28,51
2022-07-29,178
2022-07-30,97
2022-07-31,189
2022-08-01,86
2022-08-02,58
2022-08-03,148
2022-08-04,196
2022-08-05,97
2022-08-06,180
2022-08-07,197
2022-08-08,103
2022-08-09,169
2022-08-10,165
2022-08-11,124
2022-08-12,162
2022-08-13,153
2022-08-14,133
2022-08-15,161
2022-08-16,148
2022-08-17,142
2022-08-18,195
2022-08-19,177
2022-08-20,159
2022-08-21,131
2022-08-22,103
2022-08-23,117
2022-08-24,82
2022-08-25,191
2022-08-26,70
2022-08-27,97
2022-08-28,197
2022-08-29,177
2022-08-30,185
2022-08-31,184
2022-09-01,194
2022-09-02,177
2022-09-03,82
2022-09-04,164
2022-09-05,168
2022-09-06,71
2022-09-07,87
2022-09-08,158
2022-09-09,100
2022-09-10,57
2022-09-11,76
2022-09-12,76
2022-09-13,70
2022-09-14,79
2022-09-15,146
2022-09-16,77
2022-09-17,160
2022-09-18,110
2022-09-19,97
2022-09-20,196
2022-09-21,53
2022-09-22,84
2022-09-23,98
2022-09-24,66
2022-09-25,95
2022-09-26,166
2022-09-27,55
2022-09-28,148
2022-09-29,173
2022-09-30,86
2022-10-01,73
2022-10-02,142
2022-10-03,95
2022-10-04,144
2022-10-05,148
2022-10-06,165
2022-10-07,116
2022-10-08,177
2022-10-09,67
2022-10-10,74
2022-10-11,103
2022-10-12,107
2022-10-13,116
2022-10-14,153
2022-10-15,73
2022-10-16,163
2022-10-17,81
2022-10-18,135
2022-10-19,176
2022-10-20,179
2022-10-21,66
2022-10-22,153
2022-10-23,186
2022-10-24,92
2022-10-25,88
2022-10-26,75
